Object,Position X,Position Y,Position Z,Rotation X,Rotation Y,Rotation Z,Rotation W,LinVelocity X,LinVelocity Y,LinVelocity Z,AngVelocity X,AngVelocity Y,AngVelocity Z,Impact Force X,Impact Force Y,Impact Force Z,Impact Force Magnitude,Colliding Body,Time Stamp
Scoop,-1.272174,2.086843,0.6595072,-0.001046002,-0.706489,0.001079422,-0.707723,0.1505896,0.4462034,-0.3319748,-0.1011409,-0.1199858,-0.250431,0,0,0,0,,0.1242676
Scoop,-1.268946,2.092837,0.6535845,-0.001803819,-0.7052573,0.002321974,-0.7089455,0.1708891,0.4058684,-0.428101,-0.03440847,-0.1734993,-0.1415038,0,0,0,0,,0.1367188
Scoop,-1.268946,2.092837,0.6535845,-0.001803819,-0.7052573,0.002321974,-0.7089455,0.1708891,0.4058684,-0.428101,-0.03440847,-0.1734993,-0.1415038,0,0,0,0,,0.1484375
Scoop,-1.265297,2.099048,0.6463903,-0.004263413,-0.7040181,0.003682029,-0.7101601,0.2021604,0.5133854,-0.4841919,0.07793895,-0.1738686,-0.2697646,0,0,0,0,,0.1586914
Scoop,-1.261119,2.105779,0.6380432,-0.00559921,-0.7029359,0.003860757,-0.7112209,0.2171981,0.4172952,-0.5252079,0.08142444,-0.1520325,-0.1068467,0,0,0,0,,0.1706543
Scoop,-1.261119,2.105779,0.6380432,-0.00559921,-0.7029359,0.003860757,-0.7112209,0.2171981,0.4172952,-0.5252079,0.08142444,-0.1520325,-0.1068467,0,0,0,0,,0.1843262
Scoop,-1.256295,2.112818,0.6287342,-0.007683964,-0.701772,0.004067183,-0.7123486,0.2545487,0.4741904,-0.5772709,0.1326706,-0.1628468,-0.1614192,0,0,0,0,,0.1962891
Scoop,-1.250811,2.120238,0.6185402,-0.009458644,-0.7007908,0.004213874,-0.7132919,0.2857888,0.4736456,-0.6032371,0.1149932,-0.1368486,-0.1353692,0,0,0,0,,0.2099609
Scoop,-1.250811,2.120238,0.6185402,-0.009458644,-0.7007908,0.004213874,-0.7132919,0.2857888,0.4736456,-0.6032371,0.1149932,-0.1368486,-0.1353692,0,0,0,0,,0.2231445
Scoop,-1.244406,2.128381,0.6075519,-0.01214226,-0.6996899,0.003759673,-0.7143342,0.3341835,0.5269438,-0.6462732,0.2217737,-0.1532724,-0.1562837,0,0,0,0,,0.2329102
Scoop,-1.244406,2.128381,0.6075519,-0.01214226,-0.6996899,0.003759673,-0.7143342,0.3341835,0.5269438,-0.6462732,0.2217737,-0.1532724,-0.1562837,0,0,0,0,,0.2451172
Scoop,-1.237288,2.136809,0.5955277,-0.0195884,-0.6988688,0.003698989,-0.7149723,0.4012883,0.816214,-0.6348675,0.5349993,-0.1063889,-0.5173002,0,0,0,0,,0.2563477
Scoop,-1.237288,2.136809,0.5955277,-0.0195884,-0.6988688,0.003698989,-0.7149723,0.4012883,0.816214,-0.6348675,0.5349993,-0.1063889,-0.5173002,0,0,0,0,,0.2683105
Scoop,-1.229418,2.146636,0.5828701,-0.02561563,-0.6971961,0.002396524,-0.7164188,0.4258817,0.7469755,-0.7551483,0.5184547,-0.2255195,-0.3309358,0,0,0,0,,0.279541
Scoop,-1.22128,2.157585,0.569897,-0.02891325,-0.6951811,0.001519925,-0.7182516,0.4282891,0.6806095,-0.8271397,0.2921675,-0.2751989,-0.1719989,0,0,0,0,,0.2915039
Scoop,-1.22128,2.157585,0.569897,-0.02891325,-0.6951811,0.001519925,-0.7182516,0.4282891,0.6806095,-0.8271397,0.2921675,-0.2751989,-0.1719989,0,0,0,0,,0.3027344
Scoop,-1.212807,2.169636,0.5555663,-0.03363567,-0.6941231,2.592616E-05,-0.7190701,0.4487082,0.7783614,-0.7759377,0.440464,-0.1381561,-0.2240295,0,0,0,0,,0.3129883
Scoop,-1.212807,2.169636,0.5555663,-0.03363567,-0.6941231,2.592616E-05,-0.7190701,0.4487082,0.7783614,-0.7759377,0.440464,-0.1381561,-0.2240295,0,0,0,0,,0.3266602
Scoop,-1.20412,2.182662,0.5396459,-0.04160029,-0.6932312,-0.001934774,-0.7195114,0.479825,0.9759163,-0.7980732,0.7072303,-0.1016815,-0.4148854,0,0,0,0,,0.3364258
Scoop,-1.20412,2.182662,0.5396459,-0.04160029,-0.6932312,-0.001934774,-0.7195114,0.479825,0.9759163,-0.7980732,0.7072303,-0.1016815,-0.4148854,0,0,0,0,,0.3481445
Scoop,-1.19547,2.196992,0.5223426,-0.05144498,-0.6908704,-0.00507213,-0.7211285,0.4906604,1.085623,-0.9823178,0.9194602,-0.2932341,-0.4669133,0,0,0,0,,0.3583984
Scoop,-1.18702,2.212902,0.504306,-0.05498691,-0.687997,-0.007854275,-0.7235851,0.4388725,0.8510399,-1.143608,0.4364304,-0.3894477,-0.06038839,0,0,0,0,,0.3720703
Scoop,-1.18702,2.212902,0.504306,-0.05498691,-0.687997,-0.007854275,-0.7235851,0.4388725,0.8510399,-1.143608,0.4364304,-0.3894477,-0.06038839,0,0,0,0,,0.3847656
Scoop,-1.178954,2.229703,0.4846057,-0.06057233,-0.6859866,-0.01172074,-0.7249939,0.4246362,0.9458833,-1.099805,0.6639093,-0.2595883,-0.1168069,0,0,0,0,,0.3947754
Scoop,-1.178954,2.229703,0.4846057,-0.06057233,-0.6859866,-0.01172074,-0.7249939,0.4246362,0.9458833,-1.099805,0.6639093,-0.2595883,-0.1168069,0,0,0,0,,0.4072266
Scoop,-1.171117,2.247906,0.4640505,-0.06537092,-0.683459,-0.01531679,-0.7268948,0.4130591,0.9927302,-1.20337,0.5859535,-0.3300821,-0.08614992,0,0,0,0,,0.4169922
Scoop,-1.163561,2.267065,0.4432303,-0.06864856,-0.6808719,-0.01692155,-0.7289823,0.4053113,1.064193,-1.250148,0.3381967,-0.3364577,-0.127597,0,0,0,0,,0.4301758
Scoop,-1.163561,2.267065,0.4432303,-0.06864856,-0.6808719,-0.01692155,-0.7289823,0.4053113,1.064193,-1.250148,0.3381967,-0.3364577,-0.127597,0,0,0,0,,0.4448242
Scoop,-1.15624,2.286934,0.4207559,-0.07760702,-0.6797034,-0.01944857,-0.729111,0.4235864,1.346968,-1.091513,0.8260542,-0.09669745,-0.4339453,0,0,0,0,,0.4560547
Scoop,-1.15624,2.286934,0.4207559,-0.07760702,-0.6797034,-0.01944857,-0.729111,0.4235864,1.346968,-1.091513,0.8260542,-0.09669745,-0.4339453,0,0,0,0,,0.4672852
Scoop,-1.149163,2.308197,0.3978916,-0.0843254,-0.6761383,-0.02119789,-0.7316266,0.4182562,1.355829,-1.38598,0.5960759,-0.4315825,-0.3617235,0,0,0,0,,0.4780273
Scoop,-1.142336,2.330258,0.374873,-0.08770113,-0.6729308,-0.02341873,-0.7341149,0.3720608,1.192123,-1.40692,0.3828945,-0.4147046,-0.09830502,0,0,0,0,,0.4919434
Scoop,-1.142336,2.330258,0.374873,-0.08770113,-0.6729308,-0.02341873,-0.7341149,0.3720608,1.192123,-1.40692,0.3828945,-0.4147046,-0.09830502,0,0,0,0,,0.5036621
Scoop,-1.135644,2.352976,0.3512203,-0.09182726,-0.6702055,-0.02609578,-0.7360107,0.3658784,1.239727,-1.369992,0.4726918,-0.3418044,-0.1095976,0,0,0,0,,0.5134277
Scoop,-1.135644,2.352976,0.3512203,-0.09182726,-0.6702055,-0.02609578,-0.7360107,0.3658784,1.239727,-1.369992,0.4726918,-0.3418044,-0.1095976,0,0,0,0,,0.526123
Scoop,-1.12931,2.375762,0.3276032,-0.09961545,-0.6666687,-0.02820654,-0.7381292,0.3954757,1.475271,-1.377086,0.7042952,-0.40167,-0.4045969,0,0,0,0,,0.5358887
Scoop,-1.12931,2.375762,0.3276032,-0.09961545,-0.6666687,-0.02820654,-0.7381292,0.3954757,1.475271,-1.377086,0.7042952,-0.40167,-0.4045969,0,0,0,0,,0.5478516
Scoop,-1.12335,2.398826,0.3043018,-0.1068097,-0.6623682,-0.02912964,-0.7409533,0.394496,1.526581,-1.445071,0.5764453,-0.4947413,-0.4623359,0,0,0,0,,0.5578613
Scoop,-1.12335,2.398826,0.3043018,-0.1068097,-0.6623682,-0.02912964,-0.7409533,0.394496,1.526581,-1.445071,0.5764453,-0.4947413,-0.4623359,0,0,0,0,,0.5688477
Scoop,-1.117638,2.42258,0.2809277,-0.1129076,-0.6579613,-0.03092829,-0.7438971,0.3676359,1.461953,-1.468524,0.5522367,-0.5230841,-0.3264242,0,0,0,0,,0.5793457
Scoop,-1.112291,2.44594,0.2582768,-0.1165414,-0.6536706,-0.03156464,-0.7470859,0.3426021,1.370612,-1.472159,0.2893506,-0.5250036,-0.2502065,0,0,0,0,,0.5925293
Scoop,-1.112291,2.44594,0.2582768,-0.1165414,-0.6536706,-0.03156464,-0.7470859,0.3426021,1.370612,-1.472159,0.2893506,-0.5250036,-0.2502065,0,0,0,0,,0.604248
Scoop,-1.107081,2.469911,0.2350542,-0.1292475,-0.6476563,-0.03929203,-0.7498621,0.3659478,1.551556,-1.419137,1.440754,-0.6809102,-0.3321622,0,0,0,0,,0.6269531
Scoop,-1.102422,2.49366,0.2135051,-0.1356396,-0.6404511,-0.03970193,-0.7548829,0.3883435,1.585394,-1.616156,0.4692348,-0.8453133,-0.4962776,0,0,0,0,,0.6396484
Scoop,-1.098043,2.517218,0.1932473,-0.140851,-0.6350167,-0.04391872,-0.7582785,0.2936055,1.311152,-1.383274,0.6388608,-0.6641617,-0.1029355,0,0,0,0,,0.6513672
Scoop,-1.098043,2.517218,0.1932473,-0.140851,-0.6350167,-0.04391872,-0.7582785,0.2936055,1.311152,-1.383274,0.6388608,-0.6641617,-0.1029355,0,0,0,0,,0.6633301
Scoop,-1.094752,2.540263,0.1728713,-0.1544518,-0.6285422,-0.05100156,-0.7605778,0.3093716,1.607222,-1.235843,1.47687,-0.6770918,-0.427922,0,0,0,0,,0.6782227
Scoop,-1.092341,2.563007,0.154559,-0.1594276,-0.6212406,-0.05269295,-0.7654194,0.271953,1.414516,-1.455522,0.4472089,-0.8598687,-0.3218076,0,0,0,0,,0.6906738
Scoop,-1.092341,2.563007,0.154559,-0.1594276,-0.6212406,-0.05269295,-0.7654194,0.271953,1.414516,-1.455522,0.4472089,-0.8598687,-0.3218076,0,0,0,0,,0.7019043
